term,estimate,std.error,statistic,p.value,Model
COUNTY.xHumboldt,-2.5120380983994888e-5,2.2483694145187488e-5,-1.117271068614486,0.26388268634060497,Log Intensity
COUNTY.xInyo,-3.9086103057204197e-4,2.6818644827846536e-4,-1.4574227485432083,0.145004686810265,Log Intensity
COUNTY.xKern,-1.5095612453364118e-4,1.0093599275712552e-4,-1.4955628850540483,0.13477259107185285,Log Intensity
COUNTY.xKings,-1.462617019041125e-4,9.888649696633046e-5,-1.479086694252226,0.13912212676209212,Log Intensity
COUNTY.xLake,-2.9317091006333627e-5,2.2200679831032724e-5,-1.32054924576469,0.18665648444244884,Log Intensity
COUNTY.xLassen,-4.3637793750273354e-4,3.0501389408554033e-4,-1.4306821622373456,0.15252626875935596,Log Intensity
COUNTY.xLos Angeles,-1.5904220118903982e-4,1.0524693789880489e-4,-1.51113376183884,0.1307593709080298,Log Intensity
COUNTY.xMadera,-6.7934746721618535e-6,5.721854205465915e-4,-0.011872855246245618,0.9905270921172034,Log Intensity
COUNTY.xMarin,4.815941115125545e-5,3.304623042467224e-5,1.4573344836117752,0.1450290377975933,Log Intensity
COUNTY.xMariposa,-2.2427752520697946e-4,1.542707119551019e-4,-1.4537919891900932,0.14600894757362717,Log Intensity
COUNTY.xMendocino,1.712129188586213e-5,1.1085833045942779e-5,1.544429887668949,0.12248922795218975,Log Intensity
COUNTY.xMerced,-1.3204905071545725e-4,9.041494819230297e-5,-1.460478088585562,0.1441636930631396,Log Intensity
COUNTY.xModoc,-4.811166787270632e-4,3.3676118293845137e-4,-1.428658358214032,0.15310739086547906,Log Intensity
COUNTY.xMono,-3.7727494417102037e-4,2.601515442590697e-4,-1.4502122032199598,0.14700431250746504,Log Intensity
COUNTY.xMonterey,4.010928768490162e-5,3.0215347370227636e-5,1.3274475118039806,0.18436548375595077,Log Intensity
COUNTY.xNapa,-2.472639425637185e-5,1.835971243044796e-5,-1.3467745941034082,0.17805766577494547,Log Intensity
COUNTY.xNevada,-2.845770385405818e-4,1.9824624730683786e-4,-1.4354725116189688,0.15115744177211746,Log Intensity
COUNTY.xOrange,-1.4428427052864525e-4,9.425656914771346e-5,-1.530760899036451,0.12583349845753275,Log Intensity
COUNTY.xOther,4.6620023961982705e-5,3.224765498719814e-5,1.4456872594453827,0.14826989485392988,Log Intensity
COUNTY.xPlacer,-2.388285431982898e-4,1.6630074230240282e-4,-1.4361243364987617,0.1509719106590336,Log Intensity
COUNTY.xPlumas,-3.395314225989102e-4,2.370250181835071e-4,-1.432470821860845,0.1520140655638015,Log Intensity
